,WS_S1,WS_S4,GATE_S25A,HWS_S25A,TWS_S25A,GATE_S25B,GATE_S25B2,HWS_S25B,TWS_S25B,GATE_S26_1,GATE_S26_2,HWS_S26,TWS_S26,MEAN_RAIN
WS_S1,0,20286,20031,19741,20211,27442,27442,27604,27217,29787,29787,29987,29587,0
WS_S4,20286,0,10055,10235,9765,7156,7156,7318,6931,9537,9537,9737,9337,0
GATE_S25A,20031,10055,0,180,290,17211,17211,17373,16988,19592,19592,19792,19392,0
HWS_S25A,19741,10235,180,0,470,17391,17391,17553,19148,19772,19772,19972,19572,0
TWS_S25A,20211,9765,290,470,0,16921,16921,17083,16698,19302,19302,19502,19102,0
GATE_S25B,27442,7156,17211,17391,16921,0,0,162,225,13381,13381,13581,13181,0
GATE_S25B2,27442,7156,17211,17391,16921,0,0,162,225,13381,13381,13581,13181,0
HWS_S25B,27604,7318,17373,17553,17083,162,162,0,387,13543,13543,13743,13343,0
TWS_S25B,27217,6931,16988,19148,16698,225,225,387,0,13156,13156,13356,12956,0
GATE_S26_1,29787,9537,19592,19772,19302,13381,13381,13543,13156,0,0,200,200,0
GATE_S26_2,29787,9537,19592,19772,19302,13381,13381,13543,13156,0,0,200,200,0
HWS_S26,29987,9737,19792,19972,19502,13581,13581,13743,13356,200,200,0,400,0
TWS_S26,29587,9337,19392,19572,19102,13181,13181,13343,12956,200,200,400,0,0
MEAN_RAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
