Time,WS_S1,WS_S4,FLOW_S25A,GATE_S25A,HWS_S25A,TWS_S25A,FLOW_S25B,GATE_S25B,GATE_S25B2,HWS_S25B,TWS_S25B,PUMP_S25B,FLOW_S26,GATE_S26_1,GATE_S26_2,HWS_S26,TWS_S26,PUMP_S26,MEAN_RAIN
9/2/2019 22:00,3.12,3.11,0,0,2.09,3.1,0,0,0,2.31,3.13,0,0,0,0,2.61,3.09,0,0
9/2/2019 23:00,3.48,3.46,0,0,2.25,3.48,0,0,0,2.43,3.49,0,0,0,0,2.71,3.5,0,0
9/3/2019 0:00,3.59,3.49,0,0,2.41,3.57,0,0,0,2.52,3.63,0,0,0,0,2.78,3.63,0,0
9/3/2019 1:00,3.14,3.02,0,0,2.53,3.1,0,0,0,2.59,3.22,0,0,0,0,2.83,3.2,0,0
9/3/2019 2:00,2.49,2.4,0,0,2.62,2.48,0,0,0,2.68,2.56,0,187.18,0,2.53,2.76,2.54,0,0
9/3/2019 3:00,2.12,1.99,120.09,4.11,2.39,2.15,627.14,4.6,4.6,2.53,2.26,0,684.91,5.09,5.1,2.34,2.21,0,0
9/3/2019 4:00,1.68,1.5,110.24,4.11,1.95,1.73,910.32,6.1,6.6,2.21,1.91,0,811.23,5.61,5.61,1.89,1.83,0,0
9/3/2019 5:00,1.28,1.19,94,4.11,1.53,1.35,1018.55,6.61,7.11,1.9,1.58,0,892.52,6.61,6.61,1.5,1.4,0,0
9/3/2019 6:00,1.08,1.05,77.97,4.11,1.24,1.14,1058.61,7.11,7.11,1.66,1.35,0,841.52,6.62,6.62,1.29,1.16,0,0
9/3/2019 7:00,1.21,1.24,0,0,1.38,1.18,986.27,7.11,7.11,1.61,1.35,0,694.19,6.12,6.12,1.41,1.22,0,0
9/3/2019 8:00,1.78,1.8,0,0,1.6,1.71,537.07,7.11,7.11,1.81,1.75,0,364.37,3.17,3.19,1.98,1.77,0,0
9/3/2019 9:00,2.27,2.44,0,0,1.81,2.31,299.33,5.6,5.89,2.15,2.18,0,0,0,0,2.35,2.22,0,0
9/3/2019 10:00,3.01,3.02,0,0,1.98,2.97,0,0,0,2.29,3.02,0,0,0,0,2.5,3.03,0,0
9/3/2019 11:00,3.54,3.51,0,0,2.11,3.5,0,0,0,2.39,3.55,0,0,0,0,2.6,3.55,0,0
9/3/2019 12:00,3.76,3.74,0,0,2.27,3.77,0,0,0,2.47,3.79,0,0,0,0,2.67,3.77,0,0
9/3/2019 13:00,3.7,3.56,0,0,2.4,3.69,0,0,0,2.57,3.75,0,0,0,0,2.76,3.74,0,0
9/3/2019 14:00,3.17,3.07,0,0,2.51,3.13,0,0,0,2.59,3.24,0,0,0,0,2.8,3.21,0,0
9/3/2019 15:00,2.51,2.44,0,0,2.59,2.51,0,0,0,2.68,2.6,0,162.44,0,2.52,2.72,2.57,0,0
9/3/2019 16:00,2.2,2.05,111.14,4.11,2.4,2.22,522.64,4.1,4.1,2.57,2.34,0,559.13,4.1,4.1,2.39,2.27,0,0.0015625
9/3/2019 17:00,1.78,1.71,100.16,4.11,1.99,1.82,889.07,5.61,6.11,2.3,1.95,0,735.57,5.6,5.61,1.99,1.89,0,0
9/3/2019 18:00,1.54,1.51,72.58,3.87,1.66,1.56,968.32,6.61,6.61,2.03,1.73,0,781.78,5.61,5.62,1.76,1.64,0,0
9/3/2019 19:00,1.48,1.54,0,0,1.6,1.37,958.56,6.61,6.61,1.89,1.59,0,699.14,5.59,5.62,1.67,1.54,0,0
9/3/2019 20:00,1.83,1.88,0,0,1.78,1.84,660.92,6.61,6.61,1.95,1.83,0,412.96,3.63,3.63,2,1.83,0,0
9/3/2019 21:00,2.34,2.47,0,0,1.96,2.34,193.38,5.6,5.6,2.25,2.27,0,0,0,0,2.39,2.3,0,0
9/3/2019 22:00,2.96,2.94,0,0,2.09,2.92,0,0,0,2.4,2.95,0,0,0,0,2.48,3.01,0,0
9/3/2019 23:00,3.38,3.35,0,0,2.22,3.36,0,0,0,2.45,3.37,0,0,0,0,2.58,3.35,0,0
9/4/2019 0:00,3.65,3.58,0,0,2.33,3.6,0,0,0,2.53,3.67,0,0,0,0,2.63,3.68,0,0
9/4/2019 1:00,3.6,3.53,0,0,2.44,3.59,0,0,0,2.6,3.67,0,0,0,0,2.7,3.63,0,0
9/4/2019 2:00,3.06,2.97,0,0,2.54,3.09,0,0,0,2.66,3.11,0,0,0,0,2.74,3.09,0,0
9/4/2019 3:00,2.5,2.36,0,0,2.6,2.51,0,0,0,2.71,2.55,0,106.14,0,1.7,2.68,2.55,0,0
