0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
2.246732,2.4218435,2.3565273,2.2557256,1.8001895,2.0034292,1.8943704,1.793353,1.639395,1.5782363,1.8794626,1.7063271,1.067739,1.1873727,1.2554132,1.0663306,1.1724339,1.2043915,1.3080724,1.2396142,1.1961247,1.0374169,1.2633635,1.2185621,1.9648412,1.7989092,1.9603927,2.0062091,2.4213808,2.6427226,2.3501842,2.4666135,2.964302,2.968563,2.8894296,3.0258741,3.463846,3.2174454,3.3539035,3.491247,3.6124394,3.5112352,3.5750415,3.7638102,3.1856565,3.296677,3.2187254,3.2571409,2.4655218,2.6126313,2.5382326,2.536564,2.1783063,2.1838365,2.2699327,2.2229195,1.8148456,1.8055792,1.9827448,1.920988,1.324666,1.3285443,1.5792347,1.4214607,1.1666273,1.2165191,1.3751038,1.2906852,1.174473,1.3892843,1.3526983,1.2717651,1.6995273,1.7593936,1.7817261,1.8134025,2.431352,2.591452,2.4165194,2.4879458,3.0026143,2.8742816,2.9316967,3.105762,3.5405712,3.594019,3.4487205,3.669481,3.8205278,3.9551737,3.835615,4.0040126,3.703365,3.7589314,3.7381792,3.9004653
1.8719727,2.215942,2.0093317,1.895708,1.5309917,1.4366881,1.7312032,1.551704,1.2595139,1.4557724,1.3982953,1.2545879,1.0659207,1.367812,1.2936575,1.0926777,1.3842921,1.3634714,1.4096606,1.3070217,1.9349062,1.7756318,1.8325814,1.9827371,2.480708,2.3222466,2.3790143,2.4820595,3.0587354,2.9528444,2.8891008,3.0351894,3.6103659,3.358103,3.545916,3.7186778,3.5980947,3.6760547,3.5142546,3.7066932,3.2670012,3.2990448,3.2782438,3.4366112,2.5596259,2.4272687,2.6404004,2.6295085,2.2123256,2.0850794,2.3704128,2.3446631,1.7593597,1.8888265,1.9247526,1.8056694,1.2586509,1.2064419,1.392448,1.3042604,1.0658295,1.0743268,1.2088236,1.0812452,1.1169121,1.034771,1.1546186,1.1004673,1.6336813,1.8324301,1.5763676,1.6421018,2.3587282,2.3325944,2.2544131,2.4274528,3.0325844,2.912447,2.8683696,3.0153754,3.5420856,3.6379604,3.4046228,3.6261225,3.7935205,3.784732,3.7226472,3.9646657,3.7081637,3.623564,3.7165902,3.9242704,3.2740235,3.4301426,3.3279643,3.4954867
1.4840602,1.694479,1.7112643,1.603349,1.308309,1.1291648,1.5161097,1.3811508,1.1926646,1.3014065,1.288429,1.1607761,1.4499509,1.2763083,1.5598701,1.4313508,2.0144992,2.2139256,2.0426629,1.9953687,2.5246165,2.268242,2.44109,2.461524,3.1080532,2.818326,2.9568462,3.055564,3.532515,3.2255518,3.3388255,3.4838977,3.6600618,3.6353314,3.5610828,3.7385986,3.233076,3.5306969,3.2625046,3.341357,2.5471632,2.6425545,2.643774,2.6748552,2.181455,2.1924531,2.2983272,2.3046591,1.7116753,1.6678114,1.9167694,1.901688,1.3532532,1.510527,1.5692636,1.4823495,1.1623756,1.522581,1.3863064,1.3227788,1.23123,1.4326826,1.426499,1.3587781,1.7365625,1.5185578,1.7865475,1.7444584,2.3877633,2.159098,2.3587873,2.4374561,3.0898957,2.9492729,3.0459042,3.1720533,3.5719764,3.7407842,3.478117,3.6253943,3.914047,3.9071202,3.836445,4.0534873,3.78617,3.7982771,3.7543547,3.9422724,3.2818465,3.2949898,3.3520901,3.4495754,2.6066473,2.700011,2.7347643,2.8278847
1.1732507,1.1294786,1.4662414,1.1744417,1.0272369,0.9415666,1.1542207,0.9229069,1.4145249,1.3564378,1.3965042,1.2340037,1.9846187,1.8447919,1.9337746,1.8579217,2.4684086,2.4703264,2.2682025,2.3286574,3.1553466,3.0994978,2.9730487,3.1350749,3.440874,3.2988958,3.322019,3.3972707,3.5787826,3.501685,3.4039958,3.5645278,3.223356,3.5675857,3.1811883,3.3158405,2.5082626,2.4076436,2.5740707,2.6934307,2.170895,2.2545156,2.2527037,2.2332067,1.8861092,1.6602811,2.1313992,2.079453,1.2653998,1.083014,1.4851491,1.3717072,1.2440829,1.0772932,1.4649168,1.3539205,1.2757745,1.1171249,1.4110178,1.3202152,1.7739698,1.6884761,1.8218542,1.760106,2.3998725,2.2379234,2.3280404,2.35578,2.9062958,2.8202322,2.7043211,2.8351114,3.5648398,3.688697,3.4559698,3.5302453,3.8420837,4.1077623,3.6686132,3.832108,3.8106127,4.0673904,3.7413177,3.8890605,3.36724,3.2370222,3.411574,3.5570805,2.7129893,2.5816026,2.8780541,2.9491625,2.2852993,2.4496615,2.5701885,2.5614011
1.0431739,1.3307558,1.2558869,0.99275786,1.4705454,1.5388622,1.5295935,1.4162023,2.060446,1.7221407,2.0016859,1.949595,2.7050762,2.5140288,2.6000073,2.6113775,3.0843961,2.746351,2.9942753,3.0459,3.557336,3.404671,3.425294,3.4930346,3.5701747,3.331878,3.5026038,3.6206682,3.2243056,3.0515618,3.2454257,3.3069584,2.5812902,2.7344315,2.6832147,2.7091897,2.1281555,2.333222,2.327341,2.312472,1.7700875,2.0239837,2.0180879,2.0303636,1.2884185,1.2437063,1.5708469,1.4437156,1.1853849,0.9574976,1.4036063,1.291323,1.1820592,0.94447273,1.2198006,1.165869,1.7540138,1.5009339,1.6693642,1.669713,2.2988784,2.3422947,2.2160487,2.2640543,2.987384,2.9140565,2.8874934,2.9788468,3.5194526,3.4751055,3.37794,3.5722136,3.792581,4.0596013,3.7872357,3.834057,3.799605,3.8338866,3.7809412,3.926716,3.3282335,3.266613,3.3190868,3.4702284,2.6490293,2.7257166,2.718105,2.8326344,2.325165,2.4882944,2.5171108,2.5629523,1.9370223,1.9468197,2.2552018,2.2254024
1.2534763,1.2732989,1.3811866,1.2143437,1.813108,1.9247947,1.7954228,1.7025533,2.4891095,2.2878425,2.449914,2.3584676,3.016716,2.879797,2.8781152,2.886763,3.558502,3.3154583,3.517232,3.6604044,3.6244187,3.4643476,3.5277996,3.594125,3.2010877,3.1626585,3.2204351,3.2835593,2.504782,2.6443467,2.543204,2.5447705,2.197309,2.2955112,2.2878907,2.2402413,1.7888635,1.9007927,2.1595733,1.9268281,1.3013587,1.2655472,1.606522,1.4025108,1.1711538,1.3138666,1.5009236,1.3268436,1.24374,1.1593188,1.4222854,1.2695695,1.6236303,1.4335107,1.6180923,1.5897547,2.3529813,2.3324642,2.2996926,2.3045533,2.9058971,2.9094243,2.8856995,2.9392188,3.541989,3.2743518,3.4926386,3.6320043,3.7466664,3.5226462,3.668721,3.8207512,3.802305,4.052547,3.8262196,3.9410372,3.2140818,3.1888554,3.3198388,3.3940904,2.7546144,2.8203108,2.887793,2.9908645,2.3405657,2.7266576,2.5798197,2.6141794,1.9566998,2.191602,2.2956846,2.1616368,1.6588472,1.9289652,1.9949946,1.8839345
1.9019221,1.8714106,1.9767193,1.83733,2.467684,2.6872697,2.4186792,2.409174,3.2134602,3.0489316,3.1034632,3.0945399,3.4918196,3.3168042,3.4381602,3.4420385,3.5536518,3.5336223,3.4247158,3.5305405,3.2786994,3.2757876,3.2550535,3.2837832,2.506551,2.341939,2.59158,2.5734127,2.1673713,2.1803677,2.365856,2.3235865,1.7681295,2.0350919,1.9828231,1.9523369,1.3185314,1.4807404,1.655356,1.5613407,1.1013354,1.2518755,1.3971959,1.348998,1.1337186,1.2401254,1.3305483,1.2676125,1.7560278,1.5069079,1.7986243,1.8912662,2.2719123,2.1981149,2.154921,2.3615003,2.971974,2.9107544,2.8898697,3.0118916,3.4706867,3.4907877,3.285565,3.4588323,3.808116,3.9094052,3.645002,3.918765,3.816749,3.6760798,3.6570618,3.927542,3.220721,3.43996,3.2680259,3.3615358,2.6922073,2.6747487,2.797266,2.9042177,2.3259134,2.5841436,2.590286,2.6005914,1.8673636,1.9072883,2.1779041,2.2282264,1.6412907,1.8485391,1.9290142,1.9763204,1.5123163,1.3948165,1.7446462,1.788077
2.4465692,2.2611706,2.5210927,2.3811152,3.112365,3.2437284,3.0234904,3.0790384,3.5246825,3.41702,3.4354794,3.5070183,3.5258527,3.1840467,3.4579892,3.5316806,3.2037766,3.2520437,3.1378434,3.3521197,2.4625154,2.4150884,2.479112,2.4955926,2.0881147,1.9694333,2.1748035,2.1909347,1.7467817,1.9963568,1.9667541,1.9070673,1.3298663,1.4595416,1.5412331,1.4606719,1.043192,0.95968604,1.2689227,1.149116,1.1179943,1.0731018,1.2992696,1.1950446,1.7324415,1.9087462,1.8928112,1.9128766,2.3981402,2.3874304,2.4410706,2.560733,2.9643,3.1233451,2.9586914,3.0495,3.5853646,3.4687212,3.5618649,3.7195935,3.9077919,3.9283407,3.8832994,4.081598,3.6605961,3.9597955,3.6715314,3.951495,3.1445436,3.2791312,3.1148925,3.322631,2.656514,2.7797468,2.7852883,2.8808522,2.1495502,2.2544153,2.2605247,2.308543,1.9306875,2.2149339,2.104773,2.1975908,1.5282154,1.9415038,1.7267405,1.7555596,1.7189251,1.8027989,1.939414,1.8951898,1.7640355,2.1318824,1.9136009,1.8984268
3.011702,2.851561,3.0777736,3.016344,3.4515417,3.2364414,3.4401102,3.5330102,3.512486,3.2096438,3.4675786,3.5802174,3.1097462,3.1121912,3.192069,3.2547343,2.388706,2.2065322,2.37803,2.4742184,2.1699312,2.2813535,2.3098235,2.3471608,1.5956504,1.6280448,1.7882142,1.7712747,1.3072785,1.2632928,1.5593302,1.4856774,1.1157744,1.0114521,1.3773623,1.2378349,1.0745327,1.0078678,1.2745011,1.1920865,1.5746043,1.473952,1.6189389,1.6373082,2.2290485,2.0465133,2.2473068,2.30546,2.9017725,2.6669912,2.8689742,3.0736508,3.4581242,3.2741222,3.3447087,3.5678005,3.8613312,3.6275713,3.7976148,4.0120945,3.68293,3.7915282,3.6677656,3.8950286,3.2611103,3.6038892,3.303437,3.510347,2.6063879,2.9835486,2.7597256,2.8452392,2.1853454,2.362477,2.360094,2.3935068,1.890387,2.1600587,2.131,2.183582,1.5639242,1.5704302,1.7610338,1.767474,1.5153956,1.8637123,1.6805744,1.7553208,1.7987428,1.9939055,1.9285994,1.9854829,2.3177047,2.3068745,2.358251,2.4406362
3.5115812,3.6566093,3.6005638,3.5496278,3.568499,3.4672956,3.6273646,3.639978,3.2261899,3.217063,3.309035,3.3006074,2.4216454,2.5679479,2.5049863,2.5456414,2.0731058,1.771504,2.13383,2.1759317,1.7645442,1.9561399,2.0836644,2.0580986,1.3755383,1.5458312,1.7034513,1.6188396,1.1075168,1.1778766,1.4435458,1.2554768,1.2689714,1.574196,1.5338737,1.3646963,1.6266835,1.5554847,1.8431984,1.7177141,2.2315733,2.134473,2.3060772,2.2663507,2.9824395,2.7715976,3.0434265,3.1141484,3.379108,3.5415907,3.3851779,3.4941423,3.7992675,3.884766,3.7903376,3.933098,3.744999,3.940311,3.7024784,3.8993304,3.1134393,3.1446018,3.164636,3.2855911,2.6481535,2.8454056,2.7844977,2.9807255,2.1644747,2.1925159,2.385279,2.4531097,1.8815663,2.0056057,2.1554255,2.25301,1.6650674,2.1011748,2.0127225,2.018244,1.532608,1.8177648,1.7801776,1.7739403,1.8029456,1.9284817,1.9336555,2.0275934,2.3356864,2.190495,2.4946568,2.516466,2.9471707,3.0556796,3.0579321,3.1244311
